status[2],comments,hour[3],photo[4],age[5],shares,videos[6],link[7],string_length[8],newlines[9],likes
0,6,17,1,1380802839,2,0,0,137,0,46
0,11,23,1,1380130560,12,0,0,25,0,102
1,8,2,0,1379968488,0,0,0,755,4,56
0,6,19,1,1379944117,16,0,0,16,0,65
0,6,16,1,1379845823,1,0,0,33,0,45
1,10,21,0,1379608042,18,0,0,1097,6,91
1,6,20,0,1379604324,2,0,0,231,0,42
1,5,23,0,1379527963,0,0,0,35,0,103
0,2,17,1,1379333783,19,0,0,34,0,143
0,1,0,1,1379273108,4,0,0,28,0,113
1,6,4,0,1379114843,1,0,0,682,2,83
0,0,21,1,1379086646,0,0,0,43,0,80
0,5,22,1,1378920334,17,0,0,42,0,114
1,8,16,0,1378897828,1,0,0,79,0,37
0,1,18,1,1378731446,14,0,0,34,0,93
0,4,19,1,1378477484,3,0,0,36,0,103
0,7,5,1,1378426538,15,0,0,157,0,80
0,5,17,1,1378294744,11,0,0,28,0,69
1,7,16,0,1378290721,0,0,0,103,4,67
0,3,18,1,1378213244,3,0,0,28,0,86
1,4,17,0,1378209135,2,0,0,100,4,80
0,11,20,1,1378046169,20,0,0,15,0,200
0,7,19,1,1377870706,2,0,0,54,2,147
1,3,3,0,1377728258,0,0,0,79,0,39
0,6,1,1,1377719470,1,0,0,64,0,103
0,2,18,1,1377608783,17,0,0,9,0,179
0,3,10,1,1377494568,1,0,0,14,0,106
1,3,5,0,1377474882,2,0,0,401,6,35
1,5,19,0,1377438543,0,0,0,120,0,100
1,10,5,0,1377389768,0,0,0,108,2,103
0,4,21,1,1377359702,13,0,0,16,0,198
1,2,20,0,1377355660,0,0,0,105,0,91
0,5,22,1,1377190398,13,0,0,38,0,144
1,3,17,0,1377172603,0,0,0,64,2,44
1,5,6,0,1377134060,0,0,0,148,0,60
0,0,23,1,1377106945,1,0,0,79,0,149
1,3,18,0,1377004280,1,0,0,115,6,83
1,0,17,0,1377001171,0,0,0,144,2,67
0,1,19,1,1376920139,1,0,0,18,0,159
0,5,6,1,1376786668,36,0,0,39,0,264
0,1,6,1,1376701149,1,0,0,27,0,126
1,1,17,0,1376654672,0,0,0,136,2,55
1,9,16,0,1376652309,0,0,0,101,0,139
1,4,1,0,1376597974,0,0,0,113,2,63
1,2,21,0,1376581615,0,0,0,70,2,66
0,3,20,1,1376579719,16,0,0,46,0,266
1,2,20,0,1376494140,0,0,0,120,0,72
0,4,20,0,1376491052,0,0,1,187,6,8
0,3,18,1,1376399921,11,0,0,5,0,150
0,6,18,1,1376312996,2,0,0,24,0,130
0,5,18,1,1376140325,2,0,0,31,0,168
0,14,20,1,1375972443,1,0,0,367,2,71
0,4,15,1,1375783726,2,0,0,59,0,157
0,4,13,1,1375604967,62,0,0,93,0,431
0,2,23,1,1375464672,5,0,0,15,0,199
0,9,3,1,1375308229,4,0,0,11,0,136
0,3,14,1,1375089764,4,0,0,26,0,155
0,7,17,1,1375011821,7,0,0,28,0,161
0,1,19,1,1374848798,2,0,0,46,0,127
0,5,18,1,1374755795,4,0,0,116,2,116
0,3,19,1,1374673816,2,0,0,52,2,134
0,2,19,1,1374587017,2,0,0,22,0,140
0,3,15,1,1374486044,3,0,0,82,2,340
0,8,19,1,1374328607,42,0,0,20,0,1298
0,6,19,1,1374242810,1,0,0,17,0,363
0,5,19,1,1374070099,12,0,0,31,0,741
0,1,17,1,1373975704,2,0,0,54,0,174
0,1,19,1,1373897759,34,0,0,55,0,928
0,7,3,1,1373753676,54,0,0,19,0,409
0,14,17,1,1373630776,21,0,0,15,0,890
0,11,1,1,1373486422,20,0,0,8,0,1465
