status,comments,hour,photo,age,shares,link,likes,video,string_length,type,day,newlines
0,6,17,1,1380802839,2,0,46,0,137,3,3,0
0,11,23,1,1380130560,12,0,102,0,25,3,2,0
1,8,02,0,1379968488,0,0,56,0,755,2,1,4
0,6,19,1,1379944117,16,0,65,0,16,3,0,0
0,6,16,1,1379845823,1,0,45,0,33,3,6,0
1,10,21,0,1379608042,18,0,91,0,1097,2,3,6
1,6,20,0,1379604324,2,0,42,0,231,2,3,0
1,5,23,0,1379527963,0,0,103,0,35,2,2,0
0,2,17,1,1379333783,19,0,143,0,34,3,0,0
0,1,00,1,1379273108,4,0,113,0,28,3,0,0
1,6,04,0,1379114843,1,0,83,0,682,2,5,2
0,0,21,1,1379086646,0,0,80,0,43,3,4,0
0,5,22,1,1378920334,17,0,114,0,42,3,2,0
1,8,16,0,1378897828,1,0,37,0,79,2,2,0
0,1,18,1,1378731446,14,0,93,0,34,3,0,0
0,4,19,1,1378477484,3,0,103,0,36,3,4,0
0,7,05,1,1378426538,15,0,80,0,157,3,4,0
0,5,17,1,1378294744,11,0,69,0,28,3,2,0
1,7,16,0,1378290721,0,0,67,0,103,2,2,4
0,3,18,1,1378213244,3,0,86,0,28,3,1,0
1,4,17,0,1378209135,2,0,80,0,100,2,1,4
0,11,20,1,1378046169,20,0,200,0,15,3,6,0
0,7,19,1,1377870706,2,0,147,0,54,3,4,2
1,3,03,0,1377728258,0,0,39,0,79,2,3,0
0,6,01,1,1377719470,1,0,103,0,64,3,3,0
0,2,18,1,1377608783,17,0,179,0,9,3,1,0
0,3,10,1,1377494568,1,0,106,0,14,3,0,0
1,3,05,0,1377474882,2,0,35,0,401,2,0,6
1,5,19,0,1377438543,0,0,100,0,120,2,6,0
1,10,05,0,1377389768,0,0,103,0,108,2,6,2
0,4,21,1,1377359702,13,0,198,0,16,3,5,0
1,2,20,0,1377355660,0,0,91,0,105,2,5,0
0,5,22,1,1377190398,13,0,144,0,38,3,3,0
1,3,17,0,1377172603,0,0,44,0,64,2,3,2
1,5,06,0,1377134060,0,0,60,0,148,2,3,0
0,0,23,1,1377106945,1,0,149,0,79,3,2,0
1,3,18,0,1377004280,1,0,83,0,115,2,1,6
1,0,17,0,1377001171,0,0,67,0,144,2,1,2
0,1,19,1,1376920139,1,0,159,0,18,3,0,0
0,5,06,1,1376786668,36,0,264,0,39,3,6,0
0,1,06,1,1376701149,1,0,126,0,27,3,5,0
1,1,17,0,1376654672,0,0,55,0,136,2,4,2
1,9,16,0,1376652309,0,0,139,0,101,2,4,0
1,4,01,0,1376597974,0,0,63,0,113,2,4,2
1,2,21,0,1376581615,0,0,66,0,70,2,3,2
0,3,20,1,1376579719,16,0,266,0,46,3,3,0
1,2,20,0,1376494140,0,0,72,0,120,2,2,0
0,4,20,0,1376491052,0,1,8,0,187,4,2,6
0,3,18,1,1376399921,11,0,150,0,5,3,1,0
0,6,18,1,1376312996,2,0,130,0,24,3,0,0
0,5,18,1,1376140325,2,0,168,0,31,3,5,0
0,14,20,1,1375972443,1,0,71,0,367,3,3,2
0,4,15,1,1375783726,2,0,157,0,59,3,1,0
0,4,13,1,1375604967,62,0,431,0,93,3,6,0
0,2,23,1,1375464672,5,0,199,0,15,3,4,0
0,9,03,1,1375308229,4,0,136,0,11,3,3,0
0,3,14,1,1375089764,4,0,155,0,26,3,0,0
0,7,17,1,1375011821,7,0,161,0,28,3,6,0
0,1,19,1,1374848798,2,0,127,0,46,3,4,0
0,5,18,1,1374755795,4,0,116,0,116,3,3,2
0,3,19,1,1374673816,2,0,134,0,52,3,2,2
0,2,19,1,1374587017,2,0,140,0,22,3,1,0
0,3,15,1,1374486044,3,0,340,0,82,3,0,2
0,8,19,1,1374328607,42,0,1298,0,20,3,5,0
0,6,19,1,1374242810,1,0,363,0,17,3,4,0
0,5,19,1,1374070099,12,0,741,0,31,3,2,0
