status,comments,hour,photo,age,shares,link,likes,video,type,day,str_length,newlines
0,9,17,1,1381166057,71,0,170,0,4,0,269,4
0,55,16,1,1381162339,82,0,184,0,4,0,218,2
0,30,14,1,1381156892,104,0,273,0,4,0,316,2
0,14,13,1,1381152576,133,0,218,0,4,0,242,4
0,223,12,1,1381148702,169,0,459,0,4,0,328,6
0,37,09,1,1381136401,200,0,578,0,4,0,384,4
0,74,07,0,1381129201,88,1,244,0,4,0,307,7
0,455,05,1,1381122001,683,0,1451,0,4,0,262,4
0,70,01,1,1381108282,621,0,1021,0,4,0,271,2
1,68,22,0,1381011980,127,0,628,0,4,5,280,0
0,44,21,1,1380921524,212,0,743,0,4,4,272,4
0,25,19,1,1380914065,129,0,272,0,4,4,125,0
0,78,18,1,1380911321,92,0,565,0,4,4,208,4
1,277,17,0,1380906743,1437,0,2155,0,4,4,177,0
0,54,15,1,1380901782,621,0,1070,0,4,4,185,0
0,34,13,0,1380894572,391,1,986,0,4,4,167,0
0,109,11,1,1380887680,1457,0,2145,0,4,4,185,2
1,360,09,0,1380878530,1332,0,2569,0,4,4,353,8
0,65,21,1,1380835299,252,0,841,0,4,3,262,4
0,296,20,1,1380833426,1072,0,1007,0,4,3,318,4
0,134,18,1,1380826490,540,0,943,0,4,3,276,2
0,116,16,0,1380818885,112,1,708,0,4,3,276,2
0,78,14,1,1380811698,719,0,1341,0,4,3,143,0
0,300,13,1,1380805961,585,0,2017,0,4,3,413,6
0,25,12,1,1380801973,101,0,298,0,4,3,182,0
0,308,21,1,1380750296,117,0,818,0,4,2,318,6
0,27,19,1,1380742177,233,0,704,0,4,2,315,2
0,196,17,0,1380733681,194,1,1004,0,4,2,200,2
0,109,16,1,1380730170,346,0,595,0,4,2,203,4
1,132,15,0,1380726015,212,0,424,0,4,2,321,2
1,553,13,0,1380721028,1170,0,3123,0,4,2,251,8
0,317,12,1,1380716212,302,0,1087,0,4,2,249,4
1,314,22,0,1380666509,196,0,755,0,4,1,367,4
1,71,20,0,1380661009,92,0,443,0,4,1,232,2
1,785,19,0,1380655598,5173,0,8256,0,4,1,229,11
0,111,18,1,1380651955,311,0,491,0,4,1,318,2
0,71,17,1,1380647938,885,0,1193,0,4,1,229,4
0,186,15,0,1380641374,560,1,1255,0,4,1,209,0
0,180,14,1,1380636805,416,0,840,0,4,1,420,7
0,71,12,1,1380630284,1607,0,2941,0,4,1,199,0
0,204,09,1,1380619801,1790,0,2550,0,4,1,132,2
1,252,04,0,1380603552,629,0,908,0,4,1,318,4
0,54,01,1,1380590083,493,0,1049,0,4,1,296,6
1,169,22,0,1380580450,575,0,1000,0,4,0,233,2
0,208,21,0,1380575031,75,1,350,0,4,0,221,2
1,354,18,0,1380567526,2272,0,5531,0,4,0,197,11
0,320,17,1,1380562587,789,0,1201,0,4,0,399,4
0,24,16,1,1380559110,417,0,650,0,4,0,119,0
1,56,15,0,1380556558,92,0,417,0,4,0,359,4
0,19,15,1,1380554355,51,0,226,0,4,0,219,2
0,73,14,1,1380550942,1455,0,1845,0,4,0,187,0
0,79,11,1,1380542257,854,0,1305,0,4,0,313,4
0,129,09,1,1380533400,1078,0,1381,0,4,0,183,2
0,45,07,1,1380524500,162,0,466,0,4,0,379,4
0,72,04,1,1380513788,274,0,814,0,4,0,358,4
0,148,11,1,1380455989,1523,0,5421,0,4,6,445,6
